x,y
3.85,14.82
3.9000000000000004,13.73
3.9000000000000004,13.74
3.9000000000000004,14.82
3.95,13.74
3.95,14.82
4.0,13.74
4.0,14.82
4.05,13.74
4.05,13.75
4.05,14.82
4.1000000000000005,13.75
4.1000000000000005,14.82
4.1000000000000005,14.83
4.15,13.75
4.15,14.83
4.2,13.75
4.2,13.76
4.2,14.83
4.25,13.76
4.25,14.83
4.3,13.76
4.3,14.83
4.3500000000000005,13.76
4.3500000000000005,13.77
4.3500000000000005,14.83
4.4,13.77
4.4,14.83
4.45,13.77
4.45,14.83
4.45,14.84
4.5,13.77
4.5,13.780000000000001
4.5,14.84
4.55,13.780000000000001
4.55,14.84
4.6000000000000005,13.780000000000001
4.6000000000000005,14.84
4.65,13.780000000000001
4.65,13.790000000000001
4.65,14.84
4.7,13.790000000000001
4.7,14.84
4.75,13.790000000000001
4.75,14.84
4.800000000000001,13.790000000000001
4.800000000000001,14.84
4.800000000000001,14.85
4.8500000000000005,13.790000000000001
4.8500000000000005,13.8
4.8500000000000005,14.85
4.9,13.8
4.9,14.85
4.95,13.8
4.95,14.85
5.0,13.8
5.0,13.81
5.0,14.85
5.050000000000001,13.81
5.050000000000001,14.85
5.1000000000000005,13.81
5.1000000000000005,14.85
5.15,13.81
5.15,13.82
5.15,14.85
5.2,13.82
5.2,14.85
5.2,14.86
5.25,13.82
5.25,14.86
5.300000000000001,13.82
5.300000000000001,14.86
5.3500000000000005,13.82
5.3500000000000005,13.83
5.3500000000000005,14.86
5.4,13.83
5.4,14.86
5.45,13.83
5.45,14.86
5.5,13.83
5.5,13.84
5.5,14.86
5.550000000000001,13.84
5.550000000000001,14.86
5.6000000000000005,13.84
5.6000000000000005,14.86
5.65,13.84
5.65,14.86
5.7,13.84
5.7,13.85
5.7,14.86
5.7,14.870000000000001
5.75,13.85
5.75,14.870000000000001
5.800000000000001,13.85
5.800000000000001,14.870000000000001
5.8500000000000005,13.85
5.8500000000000005,14.870000000000001
5.9,13.85
5.9,13.86
5.9,14.870000000000001
5.95,13.86
5.95,14.870000000000001
6.0,13.86
6.0,14.870000000000001
6.050000000000001,13.86
6.050000000000001,13.870000000000001
6.050000000000001,14.870000000000001
6.1000000000000005,13.870000000000001
6.1000000000000005,14.870000000000001
6.15,13.870000000000001
6.15,14.870000000000001
6.2,13.870000000000001
6.2,14.870000000000001
6.25,13.870000000000001
6.25,13.88
6.25,14.870000000000001
6.300000000000001,13.88
6.300000000000001,14.870000000000001
